step|id|lat|lon|g|h|name
0|240949599|41.3833411|2.1817741|0.0000000|830.6971347|
1|240944785|41.3834757|2.1815058|0.0269269|830.6850971|
2|240936347|41.3835415|2.1813657|0.0407166|830.6785647|
3|240936348|41.3835705|2.1808620|0.0828636|830.6436514|
4|30647274|41.3836083|2.1806473|0.1012625|830.6301707|
5|240939090|41.3836208|2.1805836|0.1067557|830.6262419|
6|30647313|41.3836519|2.1803991|0.1225321|830.6145815|
7|240940059|41.3832456|2.1801721|0.1715195|830.5757558|
8|1400567486|41.3830774|2.1800441|0.1930566|830.5572167|
9|1400567485|41.3829989|2.1799889|0.2029258|830.5488933|
10|30254232|41.3832997|2.1796205|0.2483506|830.5387535|
11|209098453|41.3834940|2.1793472|0.2797622|830.5296442|
12|209098451|41.3835431|2.1792851|0.2872888|830.5278471|
13|240936353|41.3838960|2.1788479|0.3408638|830.5155953|
14|30227495|41.3839668|2.1787455|0.3524812|830.5120733|
15|820938973|41.3839044|2.1786611|0.3623668|830.5025195|
16|820938972|41.3837311|2.1784596|0.3879392|830.4783707|
17|630622793|41.3834777|2.1781631|0.4254338|830.4429251|
18|30227492|41.3833296|2.1779686|0.4485533|830.4206716|
19|630622780|41.3830553|2.1776167|0.4908883|830.3800597|
20|630622788|41.3828410|2.1773238|0.5250201|830.3470284|
21|209057500|41.3828093|2.1773635|0.5298570|830.3481600|
22|209057499|41.3829894|2.1771029|0.5594165|830.3391913|
23|209134967|41.3829146|2.1770053|0.5710562|830.3279978|
24|209137015|41.3826193|2.1766560|0.6149592|830.2864174|
25|209138338|41.3827255|2.1764279|0.6373559|830.2757345|
26|454882801|41.3828781|2.1761589|0.6654914|830.2646436|
27|30243956|41.3825847|2.1758870|0.7052276|830.2287768|
28|454882879|41.3825197|2.1758045|0.7152083|830.2192174|
29|454882875|41.3824840|2.1756724|0.7269227|830.2076769|
30|454882873|41.3823899|2.1755042|0.7444273|830.1903034|
31|209132796|41.3821190|2.1757582|0.7812574|830.1937923|
32|1400545466|41.3820979|2.1756981|0.7867934|830.1882742|
33|209132797|41.3818961|2.1754887|0.8152317|830.1619831|
34|30252199|41.3818500|2.1755157|0.8208309|830.1614011|
35|30252198|41.3817654|2.1752813|0.8425323|830.1397526|
36|30252197|41.3816518|2.1748452|0.8810473|830.1018879|
37|30252196|41.3815952|2.1746175|0.9010601|830.0822672|
38|30252195|41.3814759|2.1741239|0.9443261|830.0399211|
39|30252194|41.3813785|2.1737751|0.9753773|830.0092761|
40|194551073|41.3813096|2.1735154|0.9983593|829.9866586|
41|1400723034|41.3812283|2.1735557|1.0080045|829.9851016|
42|1400723030|41.3811844|2.1734505|1.0180478|829.9750590|
43|1400539561|41.3812156|2.1734199|1.0223552|829.9745596|
44|104438411|41.3811995|2.1733931|1.0252196|829.9717304|
45|544807070|41.3811833|2.1733650|1.0281761|829.9688015|
46|546558624|41.3811421|2.1732938|1.0356779|829.9613718|
47|546558622|41.3811838|2.1732573|1.0412253|829.9610231|
48|546558620|41.3812571|2.1731942|1.0509283|829.9604871|
49|546558621|41.3812225|2.1731319|1.0573951|829.9540660|
50|544807066|41.3812162|2.1731168|1.0588366|829.9526246|
51|544807062|41.3812063|2.1730857|1.0616552|829.9498253|
52|1400723031|41.3811858|2.1730538|1.0651595|829.9463841|
53|1400723029|41.3811836|2.1729990|1.0697381|829.9422912|
54|1400723032|41.3812086|2.1729785|1.0730020|829.9421824|
55|30227477|41.3809871|2.1724416|1.1241217|829.8910689|
56|30227476|41.3809415|2.1723092|1.1362763|829.8789612|
57|30227475|41.3809149|2.1722049|1.1454673|829.8699367|
58|442537842|41.3808841|2.1719885|1.1638442|829.8525562|
59|30227474|41.3808738|2.1719532|1.1670042|829.8494304|
60|192551166|41.3808653|2.1719037|1.1712409|829.8453746|
61|30227473|41.3808464|2.1717803|1.1817489|829.8353900|
62|30227472|41.3807455|2.1714139|1.2143127|829.8032767|
63|192082712|41.3806139|2.1709747|1.2537703|829.7641961|
64|432592964|41.3805702|2.1708400|1.2660143|829.7520264|
65|30227035|41.3805642|2.1708008|1.2693523|829.7488548|
66|1514098857|41.3804349|2.1703644|1.3084986|829.7101038|
67|30227469|41.3803781|2.1701726|1.3257024|829.6930741|
68|30227468|41.3802410|2.1696863|1.3690457|829.6502770|
69|30227467|41.3800818|2.1691474|1.4173676|829.6024502|
70|30227466|41.3800008|2.1688237|1.4458375|829.5745280|
71|30227465|41.3798651|2.1684152|1.4831112|829.5374464|
72|96429480|41.3796602|2.1683316|1.5069388|829.5200992|
73|30227464|41.3796455|2.1681797|1.5197175|829.5082805|
74|96429481|41.3795894|2.1680827|1.5299357|829.4981599|
75|30227463|41.3796959|2.1678377|1.5535598|829.4862713|
76|30227462|41.3796427|2.1676042|1.5739201|829.4664178|
77|30227461|41.3795906|2.1674196|1.5903756|829.4501689|
78|30227460|41.3795666|2.1672526|1.6045625|829.4367437|
79|30647879|41.3794163|2.1669871|1.6323117|829.4092212|
80|1400544017|41.3793563|2.1668938|1.6425640|829.3991537|
81|30647878|41.3793117|2.1667923|1.6523779|829.3893405|
82|630953047|41.3792455|2.1666410|1.6669911|829.3747280|
83|30647873|41.3787024|2.1658297|1.7577052|829.2860078|
84|30238275|41.3785504|2.1656803|1.7787064|829.2668057|
85|30238249|41.3783992|2.1655294|1.7997108|829.2475391|
86|30238379|41.3781129|2.1652473|1.8393023|829.2113207|
87|30238230|41.3780185|2.1651557|1.8522867|829.1994812|
88|30647872|41.3777643|2.1648748|1.8890055|829.1651184|
89|30647871|41.3775345|2.1646284|1.9218019|829.1346003|
90|30246671|41.3777713|2.1643135|1.9589995|829.1248231|
91|30227448|41.3786470|2.1631904|2.0941390|829.0916834|
92|1043786412|41.3786324|2.1631777|2.0960776|829.0899584|
93|30238199|41.3777744|2.1620792|2.2283758|828.9630684|
94|30238198|41.3769196|2.1609800|2.3604590|828.8363041|
95|30238197|41.3760090|2.1598601|2.4982414|828.7049650|
96|905811229|41.3752865|2.1588448|2.6149938|828.5915713|
97|905811222|41.3752856|2.1585571|2.6389997|828.5706704|
98|905811223|41.3750498|2.1585556|2.6652198|828.5575694|
99|540056271|41.3750494|2.1582348|2.6919876|828.5342969|
100|903233288|41.3750494|2.1566108|2.8274950|828.4165989|
101|903233273|41.3750494|2.1563002|2.8534117|828.3940893|
102|540056269|41.3750494|2.1552651|2.9397810|828.3190756|
103|901550925|41.3750777|2.1543187|3.0188118|828.2520524|
104|901550927|41.3750510|2.1540136|3.0444420|828.2284713|
105|899314398|41.3751161|2.1521353|3.2013355|828.0959532|
106|899314389|41.3751335|2.1517923|3.2300209|828.0720588|
107|771231914|41.3751726|2.1501092|3.3705267|827.9522624|
108|1534557576|41.3752150|2.1498918|3.3892693|827.9388491|
109|540056263|41.3752236|2.1498474|3.3930955|827.9361065|
110|540056265|41.3752803|2.1497823|3.4014175|827.9345168|
111|1534557590|41.3753709|2.1496289|3.4177063|827.9283994|
112|540056266|41.3753881|2.1495997|3.4208037|827.9272324|
113|540056267|41.3754821|2.1494478|3.4372322|827.9214116|
114|540056259|41.3755645|2.1491867|3.4608667|827.9070397|
115|1121909639|41.3756011|2.1489393|3.4819071|827.8911344|
116|540056261|41.3756098|2.1488562|3.4889081|827.8855938|
117|771231815|41.3756269|2.1487690|3.4964284|827.8802195|
118|771231836|41.3754884|2.1486062|3.5169637|827.8607849|
119|771231903|41.3753478|2.1484244|3.5387475|827.8398580|
120|771231899|41.3752606|2.1483247|3.5515233|827.8278248|
121|1193548738|41.3752137|2.1483183|3.5567657|827.8247741|
122|1193548732|41.3751593|2.1480925|3.5765537|827.8054142|
123|772095927|41.3751729|2.1473274|3.6404119|827.7507338|
124|178547786|41.3751893|2.1464965|3.7097665|827.6914426|
125|772096103|41.3752020|2.1459514|3.7552718|827.6526536|
126|30914423|41.3752068|2.1457538|3.7717682|827.6386035|
127|30686353|41.3752131|2.1451293|3.8238814|827.5937106|
128|30914310|41.3752179|2.1449007|3.8429633|827.5774153|
129|30914313|41.3751984|2.1440077|3.9175071|827.5116500|
130|30914370|41.3752134|2.1430120|4.0006054|827.4403514|
131|30307932|41.3752199|2.1425827|4.0364337|827.4096134|
132|30914440|41.3752288|2.1419907|4.0858402|827.3672233|
133|30625895|41.3752361|2.1415095|4.1259999|827.3327713|
134|178523526|41.3752528|2.1408527|4.1808350|827.2861200|
135|30294316|41.3752625|2.1404710|4.2127024|827.2590088|
136|178522246|41.3752766|2.1399174|4.2589215|827.2196905|
137|30294314|41.3752804|2.1397677|4.2714197|827.2090578|
138|30264417|41.3752991|2.1390333|4.3327335|827.1568999|
139|30294234|41.3753198|2.1383424|4.3904283|827.1080044|
140|30294197|41.3753219|2.1382710|4.3963905|827.1029493|
141|30625909|41.3753238|2.1379605|4.4222995|827.0805667|
142|30294326|41.3753456|2.1370549|4.4979018|827.0161853|
143|709125026|41.3753493|2.1367474|4.5235630|826.9941204|
144|30294498|41.3753556|2.1362343|4.5663819|826.9573101|
145|364992669|41.3753886|2.1355049|4.6273536|826.9063115|
146|539147476|41.3754012|2.1351219|4.6593419|826.8792722|
147|166211432|41.3753972|2.1350283|4.6671645|826.8722732|
148|622019285|41.3754062|2.1344079|4.7189404|826.8278445|
149|30294443|41.3754168|2.1336375|4.7832335|826.7726434|
150|539147470|41.3754184|2.1334759|4.7967186|826.7610301|
151|30294437|41.3754229|2.1326432|4.8662010|826.7009829|
152|535657125|41.3754585|2.1322815|4.8966397|826.6767599|
153|694837836|41.3754424|2.1314552|4.9656095|826.6160404|
154|530676956|41.3754563|2.1306210|5.0352323|826.5564085|
155|530676959|41.3754630|2.1304626|5.0484702|826.5453101|
156|530676957|41.3754677|2.1303604|5.0570138|826.5381703|
157|30294451|41.3754744|2.1297164|5.1107543|826.4919136|
158|30558573|41.3754810|2.1292234|5.1518968|826.4565849|
159|60591112|41.3755150|2.1272269|5.3185276|826.3139233|
160|30314636|41.3755233|2.1267068|5.3619345|826.2767301|
161|303636030|41.3755226|2.1262799|5.3975551|826.2457869|
162|708983971|41.3753567|2.1262722|5.4160136|826.2360564|
163|708983973|41.3752600|2.1260399|5.4381794|826.2138927|
164|708983974|41.3749461|2.1254498|5.4985342|826.1538172|
165|708983975|41.3745999|2.1247417|5.5690529|826.0834130|
166|700938101|41.3744729|2.1244394|5.5979612|826.0545062|
167|30237104|41.3741790|2.1238560|5.6565932|825.9960210|
168|30237103|41.3737289|2.1231796|5.7320278|825.9221662|
169|30237102|41.3733544|2.1226409|5.7933030|825.8624601|
170|30236928|41.3728934|2.1220191|5.8662393|825.7919552|
171|30236830|41.3726285|2.1217011|5.9058845|825.7542868|
172|30236815|41.3723709|2.1212977|5.9500834|825.7108392|
173|30236945|41.3721197|2.1209372|5.9911335|825.6708513|
174|30237020|41.3717718|2.1204137|6.0494836|825.6137160|
175|30237025|41.3715206|2.1200017|6.0937797|825.5699994|
176|30237055|41.3710311|2.1192807|6.1749113|825.4907364|
177|30237073|41.3705223|2.1185168|6.2601415|825.4073002|
178|30237101|41.3698202|2.1174697|6.3773153|825.2926730|
179|942080295|41.3693425|2.1167306|6.4587121|825.2127511|
180|30237100|41.3693666|2.1166752|6.4640556|825.2100722|
181|942080290|41.3693828|2.1166250|6.4686156|825.2073331|
182|942080299|41.3693767|2.1165714|6.4731396|825.2031150|
183|962356416|41.3693546|2.1165258|6.4776693|825.1985917|
184|942080291|41.3693264|2.1164963|6.4816559|825.1948968|
185|962258913|41.3692721|2.1164798|6.4878487|825.1907003|
186|1482469045|41.3692658|2.1160709|6.5219778|825.1607461|
187|463164968|41.3683606|2.1160314|6.6226854|825.1078473|Torrassa
188|463164970|41.3683496|2.1078115|7.3086301|824.5121340|Florida
189|463164971|41.3673721|2.1028770|7.7345167|824.1008669|Can Serra
190|463164972|41.3637132|2.1007573|8.1781603|823.7449876|Rambla Just Oliveras
191|1482469040|41.3636983|2.1007495|8.1799404|823.7435987|
192|955374323|41.3638468|2.1000152|8.2434071|823.6986528|
193|955374325|41.3639061|2.0998788|8.2565622|823.6920587|
194|955374297|41.3638468|2.0997424|8.2697173|823.6789037|
195|955374298|41.3637223|2.0990096|8.3324205|823.6189664|
196|955374299|41.3635762|2.0986576|8.3659895|823.5854015|
197|955374304|41.3633402|2.0980891|8.4202077|823.5311898|
198|955374282|41.3624981|2.0960198|8.6166556|823.3347983|
199|853199656|41.3624319|2.0958176|8.6350662|823.3164979|
200|441791368|41.3617778|2.0938134|8.8174601|823.1352194|
201|441791365|41.3617972|2.0937276|8.8249387|823.1300817|
202|441791363|41.3617907|2.0936504|8.8314220|823.1241335|
203|909915668|41.3621914|2.0933874|8.8810908|823.1272686|
204|909915670|41.3624169|2.0930977|8.9159230|823.1187779|
205|909915671|41.3624934|2.0928510|8.9381998|823.1051545|
206|909915672|41.3625256|2.0926042|8.9591058|823.0890724|
207|909915673|41.3625256|2.0923789|8.9779085|823.0727645|
208|909915675|41.3625417|2.0920785|9.0030428|823.0519120|
209|909915677|41.3625621|2.0917835|9.0277667|823.0316887|
210|909915679|41.3626464|2.0914777|9.0549547|823.0142212|
211|909915682|41.3627029|2.0913669|9.0661340|823.0093292|
212|695629945|41.3630169|2.0907509|9.1282787|822.9821281|
213|909915645|41.3635183|2.0897999|9.2252706|822.9410641|
214|909915686|41.3638583|2.0887794|9.3184508|822.8860422|
215|909915687|41.3641735|2.0874907|9.4315658|822.8102474|
216|516243395|41.3642404|2.0872171|9.4555802|822.7941559|
217|270343230|41.3641673|2.0871811|9.4642460|822.7875013|
218|516243513|41.3640967|2.0870945|9.4749165|822.7773238|
219|270343237|41.3640637|2.0870005|9.4835770|822.7686938|
220|509891636|41.3640562|2.0869101|9.4911673|822.7617370|
221|509891638|41.3612423|2.0865567|9.8054457|822.5803161|
222|509891640|41.3603726|2.0847371|9.9854847|822.4004659|
223|509891644|41.3599925|2.0842736|10.0427801|822.3458733|
224|509891645|41.3592581|2.0832951|10.1582701|822.2343892|
225|509891647|41.3588458|2.0820849|10.2691924|822.1239684|
226|509891776|41.3585378|2.0808283|10.3795204|822.0159644|
227|509891648|41.3583304|2.0799821|10.4538158|821.9432348|
228|278732759|41.3575594|2.0781572|10.6285968|821.7684603|
229|30627314|41.3570569|2.0769470|10.7440288|821.6530432|
230|30627321|41.3568701|2.0764749|10.7885716|821.6085297|
231|30627312|41.3567155|2.0756767|10.8573747|821.5421979|
232|509893761|41.3567691|2.0745814|10.9489869|821.4658966|
233|278732760|41.3567735|2.0744922|10.9564480|821.4596848|
234|278732761|41.3568121|2.0741489|10.9854208|821.4369781|
235|278732763|41.3569603|2.0737884|11.0197267|821.4190987|
236|278732764|41.3574177|2.0732734|11.0863179|821.4071709|
237|278732765|41.3577785|2.0729816|11.1332507|821.4060470|
238|278732766|41.3578365|2.0727842|11.1509436|821.3949769|
239|278733415|41.3576947|2.0729044|11.1696320|821.3958172|
240|278733414|41.3573533|2.0731962|11.2147347|821.3980163|
241|278733412|41.3570569|2.0732391|11.2478868|821.3846991|
242|278733411|41.3567863|2.0731619|11.2786583|821.3641209|
243|278722676|41.3566004|2.0729236|11.3073443|821.3365770|
244|516243233|41.3565725|2.0729312|11.3105108|821.3355814|
245|516243231|41.3565328|2.0729261|11.3149458|821.3330130|
246|278722675|41.3564969|2.0729032|11.3193716|821.3293670|
247|516243227|41.3564610|2.0728469|11.3255374|821.3233038|
248|516243226|41.3564498|2.0727960|11.3299645|821.3189998|
249|278722674|41.3564523|2.0727431|11.3343885|821.3153100|
250|510615571|41.3564285|2.0725633|11.3496270|821.3009797|
251|509849722|41.3564022|2.0724968|11.3559006|821.2947102|
252|278733477|41.3563014|2.0722738|11.3776275|821.2729879|
253|509843494|41.3562094|2.0720786|11.3968653|821.2537649|
254|278733476|41.3559373|2.0715308|11.4516917|821.1990473|
255|278733475|41.3558533|2.0713370|11.4703704|821.1803688|
256|278733474|41.3558256|2.0711009|11.4903158|821.1617480|
257|278733473|41.3560247|2.0706823|11.5316779|821.1424861|
258|509841840|41.3563116|2.0700357|11.5943701|821.1115923|
259|509808944|41.3563423|2.0697774|11.6161976|821.0946025|
260|1488980015|41.3566072|2.0691849|11.6737579|821.0664094|
261|278719379|41.3567383|2.0688915|11.7022568|821.0524456|
262|509810627|41.3567432|2.0688195|11.7082909|821.0475074|
263|278719378|41.3567625|2.0687295|11.7161032|821.0420651|
264|516243600|41.3568112|2.0686605|11.7240083|821.0397717|
265|1483524582|41.3568430|2.0686420|11.7278667|821.0401957|
266|1483524581|41.3568163|2.0684690|11.7426081|821.0261983|
267|1483524579|41.3567995|2.0681696|11.7676669|821.0036041|
268|510886824|41.3567423|2.0678989|11.7911388|820.9808471|
269|1483524575|41.3566830|2.0677529|11.8049942|820.9669964|
270|1483524571|41.3565888|2.0675207|11.8270240|820.9449742|
