step|id|lat|lon|g|h|name
0|240949599|41.3833411|2.1817741|0.0000000|830.6971347|
1|240944785|41.3834757|2.1815058|0.0269269|830.6850971|
2|240949045|41.3834049|2.1814371|0.0366650|830.6762194|
3|30884403|41.3832725|2.1813190|0.0543801|830.6603694|
4|240943886|41.3831344|2.1811710|0.0740847|830.6420384|
5|240944156|41.3829992|2.1810165|0.0938877|830.6233959|
6|240943256|41.3831083|2.1808512|0.1122552|830.6174205|
7|240943259|41.3830103|2.1807612|0.1254888|830.6055013|
8|240940004|41.3831274|2.1805409|0.1480134|830.5959799|
9|240940059|41.3832456|2.1801721|0.1814720|830.5757558|
10|1400567486|41.3830774|2.1800441|0.2030090|830.5572167|
11|1400567485|41.3829989|2.1799889|0.2128782|830.5488933|
12|30254232|41.3832997|2.1796205|0.2583030|830.5387535|
13|209098453|41.3834940|2.1793472|0.2897146|830.5296442|
14|209098454|41.3833682|2.1791865|0.3090905|830.5110690|
15|209098455|41.3833186|2.1792182|0.3152071|830.5106352|
16|209098457|41.3832640|2.1791987|0.3214925|830.5062152|
17|209098458|41.3832284|2.1791659|0.3263048|830.5018774|
18|209094329|41.3830641|2.1793714|0.3513591|830.5077250|
19|209094327|41.3829554|2.1791024|0.3768497|830.4822418|
20|209093243|41.3827638|2.1787470|0.4133613|830.4459312|
21|30297914|41.3826319|2.1788958|0.4325766|830.4494538|
22|30297915|41.3824935|2.1790169|0.4509862|830.4506112|
23|30297916|41.3823948|2.1790938|0.4636989|830.4507509|
24|209071243|41.3822360|2.1787670|0.4961826|830.4183194|
25|1400693947|41.3822795|2.1787278|0.5020215|830.4178730|
26|30254246|41.3823269|2.1787081|0.5075425|830.4190549|
27|30254247|41.3819671|2.1782645|0.5620438|830.3670900|
28|30254248|41.3816347|2.1781157|0.6010342|830.3380030|
29|30243959|41.3814138|2.1775693|0.6528179|830.2862340|
30|209062090|41.3815385|2.1773838|0.6735975|830.2796534|
31|30243958|41.3817497|2.1770747|0.7084771|830.2688771|
32|209060709|41.3819897|2.1767552|0.7461964|830.2589344|
33|209052523|41.3820193|2.1767123|0.7510589|830.2574550|
34|437528366|41.3820425|2.1766767|0.7549930|830.2561522|
35|437528365|41.3820255|2.1766343|0.7590039|830.2521428|
36|30227488|41.3821360|2.1764390|0.7794115|830.2440726|
37|30227487|41.3816459|2.1758331|0.8537440|830.1731664|
38|30227486|41.3814483|2.1755907|0.8836067|830.1447152|
39|30227485|41.3812572|2.1753493|0.9128844|830.1166944|
40|30227484|41.3811193|2.1751703|0.9342891|830.0961261|
41|30227483|41.3808308|2.1748288|0.9771951|830.0554862|
42|443039333|41.3806423|2.1745975|1.0056863|830.0283407|
43|30646612|41.3805620|2.1744925|1.0181952|830.0163081|
44|104447194|41.3804303|2.1743167|1.0389219|829.9963132|
45|1400747771|41.3803579|2.1742259|1.0499765|829.9857449|
46|431107481|41.3803111|2.1741671|1.0571283|829.9789058|
47|1400747772|41.3803612|2.1741235|1.0637817|829.9785042|
48|104438411|41.3811995|2.1733931|1.1751487|829.9717304|
49|544807070|41.3811833|2.1733650|1.1781053|829.9688015|
50|546558624|41.3811421|2.1732938|1.1856070|829.9613718|
51|546558622|41.3811838|2.1732573|1.1911545|829.9610231|
52|546558620|41.3812571|2.1731942|1.2008575|829.9604871|
53|546558621|41.3812225|2.1731319|1.2073243|829.9540660|
54|544807066|41.3812162|2.1731168|1.2087658|829.9526246|
55|544807062|41.3812063|2.1730857|1.2115844|829.9498253|
56|1400723031|41.3811858|2.1730538|1.2150886|829.9463841|
57|1400723029|41.3811836|2.1729990|1.2196673|829.9422912|
58|1400723032|41.3812086|2.1729785|1.2229312|829.9421824|
59|30227477|41.3809871|2.1724416|1.2740508|829.8910689|
60|30227476|41.3809415|2.1723092|1.2862055|829.8789612|
61|30227475|41.3809149|2.1722049|1.2953965|829.8699367|
62|442537842|41.3808841|2.1719885|1.3137734|829.8525562|
63|30227474|41.3808738|2.1719532|1.3169334|829.8494304|
64|192551166|41.3808653|2.1719037|1.3211701|829.8453746|
65|30227473|41.3808464|2.1717803|1.3316781|829.8353900|
66|30227472|41.3807455|2.1714139|1.3642418|829.8032767|
67|192082712|41.3806139|2.1709747|1.4036995|829.7641961|
68|432592964|41.3805702|2.1708400|1.4159435|829.7520264|
69|30227035|41.3805642|2.1708008|1.4192815|829.7488548|
70|1514098857|41.3804349|2.1703644|1.4584277|829.7101038|
71|30227469|41.3803781|2.1701726|1.4756316|829.6930741|
72|30227468|41.3802410|2.1696863|1.5189749|829.6502770|
73|30227467|41.3800818|2.1691474|1.5672968|829.6024502|
74|30227466|41.3800008|2.1688237|1.5957667|829.5745280|
75|442537843|41.3803633|2.1679413|1.6797010|829.5305517|
76|30884341|41.3805721|2.1674883|1.7240580|829.5092294|
77|30884329|41.3804005|2.1672857|1.7495496|829.4850913|
78|30227464|41.3796455|2.1681797|1.8618512|829.5082805|
79|96429481|41.3795894|2.1680827|1.8720694|829.4981599|
80|30227463|41.3796959|2.1678377|1.8956935|829.4862713|
81|30227462|41.3796427|2.1676042|1.9160538|829.4664178|
82|30227461|41.3795906|2.1674196|1.9325093|829.4501689|
83|30227460|41.3795666|2.1672526|1.9466962|829.4367437|
84|30647879|41.3794163|2.1669871|1.9744454|829.4092212|
85|1400544017|41.3793563|2.1668938|1.9846977|829.3991537|
86|30647878|41.3793117|2.1667923|1.9945116|829.3893405|
87|630953047|41.3792455|2.1666410|2.0091248|829.3747280|
88|30647873|41.3787024|2.1658297|2.0998389|829.2860078|
89|30238275|41.3785504|2.1656803|2.1208401|829.2668057|
90|30238249|41.3783992|2.1655294|2.1418445|829.2475391|
91|30238379|41.3781129|2.1652473|2.1814360|829.2113207|
92|30238230|41.3780185|2.1651557|2.1944204|829.1994812|
93|30647872|41.3777643|2.1648748|2.2311392|829.1651184|
94|30647871|41.3775345|2.1646284|2.2639356|829.1346003|
95|30246671|41.3777713|2.1643135|2.3011332|829.1248231|
96|30227448|41.3786470|2.1631904|2.4362727|829.0916834|
97|30246951|41.3795375|2.1620318|2.5746545|829.0568106|
98|30243892|41.3803526|2.1609453|2.7028433|829.0230282|
99|30243882|41.3811798|2.1598387|2.8331687|828.9884780|
100|559764755|41.3819865|2.1587049|2.9635318|828.9508480|
101|30685338|41.3820842|2.1585660|2.9794163|828.9461772|
102|961566851|41.3821815|2.1584290|2.9951550|828.9416224|
103|1362899981|41.3821375|2.1583727|3.0019374|828.9351165|
104|961566869|41.3813323|2.1573431|3.1260157|828.8161086|
105|961566884|41.3805034|2.1562280|3.2569773|828.6895998|
106|961566887|41.3796323|2.1551818|3.3873674|828.5657540|
107|559763180|41.3797136|2.1550139|3.4040397|828.5580765|
108|1482469058|41.3793167|2.1544873|3.4663148|828.4980321|
109|559763179|41.3788641|2.1538868|3.5373295|828.4295614|
110|559763178|41.3780122|2.1527573|3.6709507|828.3007401|
111|536838781|41.3771584|2.1516172|3.8053470|828.1710460|
112|536838790|41.3764173|2.1506268|3.9220508|828.0584139|
113|536838792|41.3764026|2.1505794|3.9263303|828.0541690|
114|536838797|41.3763924|2.1504917|3.9337352|828.0472526|
115|1379023464|41.3764062|2.1504382|3.9384556|828.0441378|
116|536838763|41.3764175|2.1503947|3.9422965|828.0416096|
117|536838772|41.3771534|2.1494325|4.0569327|828.0125013|
118|533976713|41.3769151|2.1490991|4.0953513|827.9752011|
119|533976716|41.3767411|2.1488699|4.1225555|827.9489971|
120|178542900|41.3762524|2.1482031|4.2003270|827.8737291|
121|1121909838|41.3762029|2.1478902|4.2270090|827.8483305|
122|30914390|41.3758232|2.1462736|4.3683503|827.7102701|
123|178547786|41.3751893|2.1464965|4.4412492|827.6914426|
124|772096103|41.3752020|2.1459514|4.4867545|827.6526536|
125|30914423|41.3752068|2.1457538|4.5032509|827.6386035|
126|30686353|41.3752131|2.1451293|4.5553642|827.5937106|
127|30914310|41.3752179|2.1449007|4.5744461|827.5774153|
128|30914313|41.3751984|2.1440077|4.6489899|827.5116500|
129|30914370|41.3752134|2.1430120|4.7320882|827.4403514|
130|30307932|41.3752199|2.1425827|4.7679164|827.4096134|
131|30914440|41.3752288|2.1419907|4.8173230|827.3672233|
132|30625895|41.3752361|2.1415095|4.8574827|827.3327713|
133|178523526|41.3752528|2.1408527|4.9123177|827.2861200|
134|30294316|41.3752625|2.1404710|4.9441851|827.2590088|
135|178522246|41.3752766|2.1399174|4.9904043|827.2196905|
136|30686209|41.3748120|2.1399908|5.0424272|827.1993575|
137|30264418|41.3746564|2.1391621|5.1137065|827.1307440|
138|30625911|41.3744761|2.1380591|5.2079004|827.0409002|
139|30264304|41.3743473|2.1377459|5.2377013|827.0111043|
140|1001237049|41.3742021|2.1372434|5.2826319|826.9666921|
141|1001237055|41.3741577|2.1370935|5.2960789|826.9533837|
142|30264310|41.3740381|2.1372051|5.3123139|826.9548632|
143|30264311|41.3739157|2.1372309|5.3260934|826.9499739|
144|1001237043|41.3737072|2.1366525|5.3796360|826.8965691|
145|30625957|41.3736388|2.1364627|5.3972050|826.8790455|
146|30625958|41.3734906|2.1362996|5.4185774|826.8590498|
147|30625959|41.3731235|2.1360765|5.4634416|826.8226229|
148|30307969|41.3723635|2.1355443|5.5589076|826.7421174|
149|30625960|41.3717323|2.1350465|5.6404648|826.6712157|
150|30625961|41.3714360|2.1348748|5.6763923|826.6424230|
151|30625962|41.3712621|2.1347375|5.6988684|826.6228785|
152|30307975|41.3710183|2.1345913|5.7285963|826.5988313|
153|30686198|41.3709667|2.1346521|5.7362553|826.6003877|
154|30307976|41.3702379|2.1347804|5.8179984|826.5694606|
155|30307977|41.3695938|2.1349263|5.8906465|826.5444891|
156|30686331|41.3696527|2.1352015|5.9145269|826.5676771|
157|30686332|41.3696914|2.1354160|5.9329364|826.5853528|
158|30307948|41.3697097|2.1355615|5.9452473|826.5969040|
159|30686333|41.3697300|2.1359310|5.9761636|826.6247945|
160|30686334|41.3697429|2.1362400|6.0019887|826.6478937|
161|30686335|41.3697622|2.1366348|6.0350036|826.6775627|
162|30307972|41.3697806|2.1370120|6.0665463|826.7059070|
163|30686336|41.3697944|2.1372271|6.0845613|826.7222531|
164|30307943|41.3698064|2.1374669|6.1046164|826.7402896|
165|1012815266|41.3689655|2.1382327|6.2178716|826.7493969|
166|1012356726|41.3684393|2.1387120|6.2887466|826.7551114|
167|30307944|41.3684021|2.1387458|6.2937532|826.7555095|
168|1121909773|41.3677493|2.1393638|6.3827963|826.7643033|
169|1309411136|41.3674500|2.1389732|6.4293803|826.7194958|
170|168318375|41.3651306|2.1358937|6.7934669|826.3684531|
171|365549376|41.3643573|2.1348452|6.9161463|826.2498351|
172|365549379|41.3636629|2.1339110|7.0258744|826.1438503|
173|178534461|41.3630352|2.1330676|7.1250000|826.0481230|
174|365549382|41.3623065|2.1322107|7.2330727|825.9458509|
175|931110867|41.3619419|2.1317487|7.2890217|825.8922693|
176|365549386|41.3610121|2.1305705|7.4317036|825.7556253|
177|931110777|41.3593854|2.1283840|7.6886441|825.5074874|
178|598702099|41.3583628|2.1270263|7.8491741|825.3527178|
179|178534458|41.3576821|2.1261122|7.9566434|825.2489449|
180|365549389|41.3554650|2.1231831|8.3038397|824.9144422|
181|981789378|41.3552955|2.1229540|8.3306889|824.8884944|
182|365549391|41.3546783|2.1221198|8.4284540|824.7940124|
183|365549392|41.3541448|2.1213917|8.5133800|824.7118338|
184|365549394|41.3533488|2.1202669|8.6424093|824.5864324|
185|981789538|41.3531749|2.1200414|8.6693942|824.5605032|
186|365549396|41.3523557|2.1189793|8.7965037|824.4383702|
187|626127161|41.3515241|2.1179010|8.9255453|824.3143796|
188|386785604|41.3508557|2.1166942|9.0507291|824.1900587|
189|693847507|41.3499304|2.1154085|9.1994022|824.0458676|
190|693847478|41.3492563|2.1145239|9.3046205|823.9445964|
191|592155060|41.3483761|2.1133924|9.4406362|823.8140709|
192|592155054|41.3474570|2.1121588|9.5857175|823.6739991|
193|178534457|41.3466821|2.1111054|9.7088305|823.5549358|
194|693847463|41.3463113|2.1106128|9.7670621|823.4987940|
195|330421942|41.3454997|2.1095345|9.8945254|823.3759041|
196|900355295|41.3444586|2.1081751|10.0566352|823.2199913|
197|330421702|41.3433578|2.1067377|10.2280451|823.0551347|
198|760335893|41.3413150|2.1040060|10.5499194|822.7445427|
199|208606457|41.3389244|2.1007920|10.9276208|822.3798216|
200|242934134|41.3378881|2.0993506|11.0942332|822.2182244|
201|178534456|41.3361758|2.0970496|11.3647099|821.9570649|
202|442084611|41.3358738|2.0964794|11.4229683|821.8990786|
203|178534454|41.3356690|2.0960809|11.4632866|821.8588976|
204|242934159|41.3354407|2.0956218|11.5092615|821.8130268|
205|178534453|41.3351120|2.0947807|11.5884284|821.7339164|
206|528703075|41.3346034|2.0932996|11.7244069|821.5984731|
207|178534452|41.3336807|2.0905545|11.9755200|821.3485366|
208|178534451|41.3322371|2.0864394|12.3547560|820.9705365|
209|213383268|41.3319004|2.0854941|12.4421139|820.8834239|
210|213381051|41.3316001|2.0846638|12.5190634|820.8066576|
211|213381050|41.3312972|2.0839858|12.5849357|820.7407969|
212|213361229|41.3310716|2.0834193|12.6384770|820.6872802|
213|213361228|41.3308847|2.0827498|12.6981164|820.6284214|
214|213361227|41.3307816|2.0821490|12.7495748|820.5791600|
215|213361226|41.3307365|2.0815997|12.7957133|820.5368281|
216|213361225|41.3307429|2.0811019|12.8372843|820.5010682|
217|213361224|41.3308009|2.0805010|12.8878707|820.4606711|
218|213361222|41.3311038|2.0779776|13.1012423|820.2943121|
219|213361221|41.3312779|2.0765958|13.2182311|820.2036796|
220|213378846|41.3316259|2.0742182|13.4204884|820.0504205|
221|213378847|41.3317355|2.0733857|13.4910592|819.9960888|
222|213378849|41.3319675|2.0716433|13.6388120|819.8825276|
223|213378850|41.3322833|2.0693001|13.8375853|819.7300398|
224|213378851|41.3324509|2.0680899|13.9403355|819.6515414|
225|213378853|41.3326442|2.0665965|14.0668660|819.5539366|
226|213378854|41.3326700|2.0661845|14.1013853|819.5254923|
227|213378855|41.3326700|2.0654463|14.1630212|819.4719783|
228|213378857|41.3326700|2.0641246|14.2733764|819.3761683|
229|213378858|41.3326635|2.0631375|14.3557974|819.3042576|
230|213378859|41.3326829|2.0622363|14.4310739|819.2400052|
231|213378860|41.3327280|2.0616269|14.4822022|819.1983237|
232|213378861|41.3328375|2.0608458|14.5485468|819.1477538|
233|213378862|41.3330051|2.0600562|14.6170576|819.0997782|
234|213378863|41.3332049|2.0593352|14.6812258|819.0585557|
235|213378864|41.3334176|2.0586400|14.7439044|819.0199188|
236|213378865|41.3337012|2.0577388|14.8254899|818.9702732|
237|213378866|41.3338301|2.0572152|14.8714967|818.9394502|
238|213378868|41.3339631|2.0566208|14.9232818|818.9037252|
239|213378869|41.3341652|2.0551810|15.0455776|818.8105642|
240|675428477|41.3343035|2.0541465|15.1333093|818.7432517|
241|213378870|41.3344616|2.0529494|15.2347927|818.6652579|
242|213355922|41.3345068|2.0525803|15.2660170|818.6410154|
243|213355923|41.3345648|2.0524602|15.2779394|818.6355202|
244|213355924|41.3346742|2.0523740|15.2920737|818.6353222|
245|213354242|41.3345582|2.0524035|15.3052054|818.6310477|
246|213354240|41.3344287|2.0523501|15.3202795|818.6200213|
247|213354238|41.3343480|2.0522436|15.3329124|818.6078452|
248|516243675|41.3343248|2.0521838|15.3385323|818.6022306|
249|213354237|41.3343064|2.0520651|15.3486519|818.5926140|
250|213354235|41.3343327|2.0519023|15.3625556|818.5822733|
251|513651472|41.3339611|2.0516905|15.4075007|818.5463899|
252|513651475|41.3336131|2.0514845|15.4498468|818.5122318|
253|513651477|41.3332779|2.0512442|15.4921764|818.4762967|
254|513651479|41.3329815|2.0510382|15.5293526|818.4449913|
255|513651482|41.3326463|2.0508064|15.5713505|818.4096728|
256|513651485|41.3322725|2.0504975|15.6202671|818.3666356|
257|513651487|41.3320276|2.0502743|15.6532651|818.3369308|
258|1383170730|41.3317202|2.0499476|15.6969968|818.2962734|
259|513651490|41.3314218|2.0496306|15.7394411|818.2568163|
260|513651493|41.3311124|2.0492872|15.7842267|818.2148387|
261|1383170739|41.3310553|2.0491977|15.7940327|818.2051986|
262|513651363|41.3307734|2.0487564|15.8424092|818.1576466|
263|516243556|41.3308248|2.0486774|15.8511371|818.1547622|
264|513651364|41.3308517|2.0485965|15.8585247|818.1503866|
265|516243559|41.3308609|2.0484916|15.8673431|818.1432939|
266|1383170740|41.3308419|2.0483800|15.8768979|818.1341577|
267|513651366|41.3308273|2.0483416|15.8804917|818.1305685|
268|1512706064|41.3316463|2.0472392|16.0099758|818.0959543|
269|1128828459|41.3306463|2.0450394|16.2246880|817.8813047|
270|1128828456|41.3302259|2.0444071|16.2952046|817.8122572|
